Name,Unique ID,Account Type,Account Balance_x,Last Transaction Date_x,Overdraft Status,Active Status,Student ID,Major,GPA,Date of Birth,Date of Death,Cause of Death,EmployeeID,Position,Salary,Account Number,Last Transaction Date_y,Account Balance_y,BenefitType,LastClaimDate,Status,PatientID,LastAppointmentDate,ActivePrescriptions,Taxpayer ID,Last Filed Year,Tax Libaility,Voter ID,Last Voted Date,Registration Status,CaseNumber,LastCourtAppearance,CaseStatus,Username,LastLoginDate,PostsLastYear,Address,Electricity Usage,Water Usage,Last Payment Date,Passport Number,Last Travel Date,Destination,Target
Kristine White,f9489452-48f2-4840-8188-d4517dd97c9d,Credit,8342742072607.38,2024-05-20,No,No,196527,Computer Science,2.21,1978-05-19,,,bee1380a-f858-4f44-afa9-59e57fcac908,Chief Technology Officer,5232582029940.74,ACC74422,2024-04-22,1541287341093.98,Healthcare,2022-05-21,Inactive,99e6cc76-ce04-4e82-803a-15ad47c7dddb,2024-03-20,4,107-11-6302,2017,2914759794600.33,8933015f-c611-4d73-8b06-67b226b10d7b,2024-07-28,Registered,66141c72-9c3c-429d-869b-fbc23c5666ff,2020-06-28,Pending,rodneyrichardson,2024-07-27,47,"8610 Bridges Motorway Suite 407
Christophermouth, OR 04738",5661782221308.41,1831568852267.51,2024-06-30,P81443228,2023-04-25,China,0
Beverly Smith,e7b91348-d6cf-4e73-a254-4b7878e057e4,Checking,471547219703.27,2020-10-16,No,No,336464,Biology,2.67,1940-05-02,2024-02-15,Natural Causes,31d7ac21-f905-4809-a5f3-34a66d9976d8,Chief Financial Officer,4154257286159.52,ACC71215,2021-12-04,3651605877398.75,Unemployment,2021-05-28,Inactive,98dae37b-5041-43d2-8cc3-a2ec08f2cfc9,2024-04-23,4,444-33-1566,2018,5512552542423.95,a5e84aac-ca0f-4ed0-b26a-60ec0f34cbde,2021-08-05,Registered,6a7e4435-96dc-4935-b89e-e04a7ed866b0,2021-07-18,Open,rdalton,2024-02-20,20,"92220 Christopher Isle Apt. 914
East Davidburgh, UT 90922",2712716862001.72,65131170154.61,2024-04-29,P96574274,2023-07-09,Tokelau,0
Taylor Shea,a61c553d-d573-4307-a7bf-6a089fda824b,Savings,1825315934476.25,2022-01-19,No,Yes,289715,Biology,3.59,1971-02-14,,Natural Causes,6cfcdf06-922e-4fc0-84fd-5641279af677,"Civil engineer, contracting",1975738491396.87,ACC83351,2024-05-28,3179001679053.92,Healthcare,2020-11-26,Inactive,19711123-784d-4fa8-b7f2-d6ec5666d5ee,2024-02-02,3,759-37-4313,2023,8910910252663.76,17177150-a2b4-4654-bd56-2c52f3e251c2,2024-04-13,Not Registered,85b5b5f6-7474-48e0-9d46-492f14dfc3db,2024-06-06,Open,brian30,2024-09-10,41,"19591 Anthony Manors Suite 864
Andersonborough, GA 35498",2315722891189.31,5639377223020.27,2024-06-21,P36991296,2023-04-21,Venezuela,0
Debbie Bishop,01cfc8a8-67a8-43d4-93cf-e9977de740e7,Savings,7225645159962.5,2020-08-10,Yes,Yes,867956,Biology,3.68,1959-12-08,,,18038565-4490-4571-8c6f-c33dd2db71b9,Printmaker,1083640422599.99,ACC76616,2023-11-09,5722266784527.8,Unemployment,2021-04-24,Inactive,690184e9-0609-4671-b1a6-0282051977bb,2024-10-19,3,227-82-2428,2019,7208756694262.72,614344ce-8d32-47e4-8f72-bed62e422029,2022-06-15,Registered,7660ee4a-d9f2-4d25-a137-879008ca3973,2021-04-08,Pending,zhoover,2024-09-01,7,"280 Sharon Road Apt. 757
West Kellyfurt, VT 37600",3081953467867.93,2646013800480.77,2024-09-04,P87933761,2024-10-28,Fiji,0
Monica Sanchez,e9e5540b-f8be-4fb0-8d60-23ee11ff86d9,Checking,3559872418690.24,2022-07-29,No,Yes,751093,Biology,3.53,1972-05-08,,Illness,027df337-3dd4-4725-8cd3-b2a7866c533b,Midwife,4705223151479.57,ACC40659,2023-11-10,1146771397978.46,Healthcare,2021-08-05,Active,909bba49-810d-4dd7-b84d-d99a51be0837,2024-06-02,3,363-64-2319,2020,6953899063311.99,b1699451-4359-4974-976a-9f98e4423863,2023-07-30,Registered,427f5166-4f4b-4d38-b762-03e82759482f,2020-09-28,Pending,phawkins,2024-06-19,20,"437 Steven Lodge Suite 308
Jeffreyberg, SD 16092",5143108342664.53,4775708034649.92,2024-04-28,P34986949,2023-06-19,Sweden,0
Renee Meyer,cd8f37e2-a103-44de-aaf8-d9b24349864c,Credit,715121722530.28,2022-12-24,Yes,Yes,360266,Mathematics,3.49,1942-01-18,,Illness,78162c12-caa6-41e4-8b3f-0c7b72426008,Plant breeder/geneticist,1889040206064.34,ACC19965,2023-04-26,8054567183809.5,Disability,2022-02-14,Active,e8f14a41-c642-4a2b-9ec5-6da0479066b4,2023-11-28,4,080-54-4939,2016,5518222592696.76,37a70106-0894-4f10-8341-30ad1e89b664,2024-01-27,Not Registered,fc08841e-08a1-408f-9527-fcd41792d795,2023-04-26,Pending,acarlson,2024-06-19,5,"650 Garcia Gardens Apt. 399
East Edwardburgh, OK 44348",4525213607668.65,6169868694495.6,2023-12-06,P48683245,2024-04-27,Saint Lucia,0
Laura Lee,b7ae1a1c-3345-44ea-8108-5f155384bac9,Checking,8156986721341.92,2024-07-10,No,No,466524,Mathematics,2.93,1937-01-19,,Natural Causes,ee2dbbc7-9a28-4188-96aa-9d3239d05cab,Theatre manager,718308831224.35,ACC21100,2022-09-11,85265677645.88,Healthcare,2021-10-03,Active,07ba7a9d-d66f-459d-a7d3-b9c5fa343847,2024-02-24,2,880-67-2956,2023,6375820034339.95,2e4d6be7-3473-4742-afb9-ef50f22dde89,2021-09-22,Not Registered,0c4af303-a65a-4b28-a159-a8e4905bd5e4,2021-02-16,Open,gpierce,2024-09-04,28,"273 Bartlett Trafficway Apt. 159
Alanhaven, MS 54895",7782813819633.23,2666180686723.93,2024-02-28,P79947100,2023-04-11,Saint Kitts and Nevis,0
Jay Hensley,1645820f-aab8-4a6b-a21b-26019bd6e3dc,Credit,1433047410219.9,2021-04-17,No,Yes,126891,Mathematics,3.94,1952-09-16,2024-03-13,Accident,a63958fa-a5a4-46d8-bd5d-3003cdb299a4,Arts administrator,8026210323868.15,ACC47583,2024-09-18,431426815932.2,Healthcare,2020-08-05,Inactive,83e86d80-d440-40b0-b885-745187d46aad,2023-12-30,1,556-22-4543,2018,3419174270448.1,17bac2fc-d374-4638-a504-a8b595a07372,2021-04-01,Not Registered,e87cfac8-e42f-491c-9f46-62237d4650f7,2020-10-17,Closed,bakercolton,2024-08-26,35,"5024 Parker Pine Apt. 267
Masonmouth, LA 06106",157000508483.45,1038326215606.27,2024-07-26,P53287843,2022-11-17,Morocco,0
Jessica Mccormick,f74cfa6c-6bdf-47f5-be09-d5571ed22e33,Credit,5840643514960.37,2023-10-21,Yes,No,694278,Biology,2.62,1982-08-16,,Illness,496273a9-f8ff-435d-bbef-f896d047ebe3,Medical secretary,9511834757487.16,ACC16906,2023-07-13,7347462497098.93,Unemployment,2022-03-26,Inactive,36405d3c-ddf1-401a-ad5e-d1e0c09ff518,2024-06-03,1,386-50-0310,2021,4895713030395.4,66e3c699-5b62-4aaa-a17f-c84095237281,2021-05-19,Not Registered,21b13a1e-4170-4208-89c2-532c797bb6b4,2023-06-21,Closed,ybaker,2024-07-19,40,"749 Christina Mountain
Ariasberg, CO 95880",9594245766419.31,2466490763114.3,2024-01-11,P85715803,2022-12-26,Cameroon,0
Sarah Cherry,c5d1f0e6-67cb-44c5-8430-715b45d243b9,Checking,3071581530326.26,2023-12-07,No,Yes,352230,Computer Science,3.5,1969-08-05,,,e7db634d-b6c1-4333-83ca-6a8fc70a5fe3,Set designer,980643257342.81,ACC53489,2020-09-21,6595193096148.13,Healthcare,2020-10-08,Inactive,359ad188-44d8-4271-8425-cfc7b7667aa7,2023-11-17,1,439-85-8372,2020,7188885696795.34,f659ad21-0110-4de7-8609-07ad870fbdbb,2024-05-30,Registered,3cce191c-2007-4ab2-bc3d-a9d6ef1577a1,2022-05-05,Pending,janetmorgan,2024-01-21,34,"PSC 4120, Box 4989
APO AE 30311",2691724383726.5,3821613361570.82,2024-02-21,P24512159,2023-09-21,Solomon Islands,0
Joseph Pacheco,1ae9cdf7-ae85-4829-84fb-73b610034bdd,Checking,9406397649167.86,2023-03-16,No,Yes,246200,History,3.27,1976-10-26,,Natural Causes,f932e8a1-c48d-4495-a4bf-fcd404437437,"Surveyor, land/geomatics",1532454390299.1,ACC91658,2020-05-17,308212942860.11,Disability,2022-05-04,Inactive,45617ade-14a1-41de-b18d-28cdeadadc42,2024-09-19,4,832-04-2206,2017,7387658858313.61,53016aeb-4bae-4b0c-abf7-aea91b31cab9,2024-09-03,Not Registered,a0d99c07-33f8-4322-ae59-e35446783544,2023-03-17,Pending,kbrock,2024-08-05,44,"6962 Sheri Circle
Leechester, MS 63169",8654013741709.25,8502456688075.85,2024-02-24,P30091761,2023-02-14,Rwanda,0
Alexis Mckee,cdf398fa-8b90-4f3f-b2fb-6208937313d2,Savings,9261489164218.41,2024-01-14,Yes,No,705746,Biology,2.92,1942-10-03,2024-10-22,Accident,6b5bcca3-ad86-40b7-9902-cbac346b9f1c,Statistician,4626022860450.4,ACC98902,2020-03-09,8430681486549.0,Unemployment,2024-04-10,Active,da5284fe-824d-4ea5-aee3-07d205c77b2e,2024-08-03,1,022-13-7560,2019,1781951626920.27,95e70d77-dcc2-4feb-8842-46c980c3e4eb,2023-10-18,Registered,92095eee-9ee9-4f05-b926-02071329a0e9,2021-06-11,Pending,jenniferbecker,2024-07-13,2,"87444 Taylor Plaza Apt. 893
Chadview, OH 66545",8706238483550.53,8917264724038.47,2024-07-13,P80006548,2024-06-10,Guadeloupe,0
Bradley Collins,9663eb27-8d84-4db7-a035-a634c21dbeb7,Savings,8696664485327.1,2020-08-07,No,Yes,934035,History,2.22,2001-01-05,,Illness,a478581a-a322-4657-a931-70efee8f2429,"Librarian, public",2558915571015.48,ACC11417,2021-03-20,5304638772853.7,Healthcare,2022-12-23,Inactive,84c493b5-97d1-449a-a6fb-15af192d6203,2023-11-15,0,490-80-8304,2022,5990956867019.81,a06bc843-81b0-43fa-998d-a363fce0c44a,2023-11-28,Registered,c8972cb5-92a6-4847-819a-3cd05972f4fe,2019-11-14,Open,michelle71,2024-03-21,21,"87277 James Corners
Rhondachester, NJ 10679",3422701950507.2,2291215164724.8,2024-11-05,P38610123,2024-10-26,Malta,0
Cheyenne Soto,fc2be57f-dae5-4574-85e1-2fc7e883dd0a,Credit,2973114300601.17,2024-02-12,Yes,Yes,588053,Mathematics,2.46,1974-06-29,2024-06-26,,2436b07d-493e-46ed-8acf-dc1a7ea75999,Secondary school teacher,7435847193928.73,ACC72260,2022-06-23,7627969711859.39,Healthcare,2021-10-07,Inactive,be776811-9a27-45c0-9bfb-5905dd98b7de,2024-05-08,2,109-37-2582,2017,9094692726825.68,aa6d7900-9cbe-4853-a8f3-bfe594317f70,2024-01-05,Not Registered,13f800c4-86dc-4de0-85d5-9056ea16e5a8,2020-12-27,Closed,sarahardy,2023-11-24,8,"110 Sherri Island Apt. 543
Masonburgh, LA 50106",9941546244815.56,3910763887275.96,2024-02-12,P57445221,2023-12-26,Bermuda,1
Hayden Walters,7d90b95b-9fcf-476b-a2af-47c939621442,Credit,9948974188237.85,2024-11-09,Yes,No,194330,History,2.49,2002-03-14,2024-05-15,,c7a855a9-f21b-477d-ba35-716280b02d36,"Optician, dispensing",1508580783327.4,ACC55033,2022-03-18,4409258827154.18,Disability,2020-09-03,Active,0c80f79a-0818-41cf-8b9e-46d3013a1d9d,2024-09-13,1,870-94-2838,2015,1089253859764.61,67824b1f-595b-437b-9fe3-f367ba1cf52b,2024-03-06,Not Registered,cc2e9bd1-cf71-4eac-a6f7-497a526a32eb,2021-02-23,Pending,brandi00,2024-06-25,17,"01879 Seth Prairie Suite 394
Lake Isaiah, MI 44139",2219835576655.29,6013707074883.43,2023-12-15,P40226774,2024-05-06,New Caledonia,1
Maurice Arellano,8c74916c-d76f-4223-bd46-d26577b14cee,Credit,1616251729593.73,2021-06-23,No,No,763924,Biology,2.95,1939-03-20,2024-03-06,Accident,cd0acb76-c174-4926-b125-065d7a14e59d,Counsellor,2485034807747.97,ACC47602,2021-11-24,617521167647.96,Disability,2022-01-16,Active,ffa38997-0489-4439-8d34-1894815f7c3c,2023-11-13,0,322-64-3357,2015,8476634467523.31,1838160f-9cbc-4178-9855-e618d092617e,2022-03-09,Not Registered,294514e8-1a5d-4f30-a06d-94c477bf8e00,2022-03-11,Pending,emilyparker,2023-11-13,14,"1890 Scott Ramp
East Robertfort, NV 03967",7516970820071.82,6892450651312.62,2024-04-18,P22244831,2023-07-22,Mali,0
Megan Nguyen,07c7b707-370a-409e-8d6a-68251b386088,Credit,7481889688158.72,2019-11-16,Yes,No,499438,Biology,2.78,1937-10-31,,,856c1e57-0831-499a-94a4-047aa3c8caa6,"Social research officer, government",8780963660571.45,ACC69454,2023-09-14,3092598682365.29,Unemployment,2022-05-28,Inactive,ea478a45-ba99-4fcc-ad0d-f8d23690b56e,2024-09-05,3,386-35-8270,2019,3346612048870.96,0f697b05-6626-4351-8b17-802b9a46a15d,2020-12-19,Registered,1eb9cb09-f01f-4e5b-b59b-67e174350a52,2024-04-28,Closed,mariacrane,2024-10-19,6,"56432 Robin Skyway
East Christopher, ME 28379",9124219679969.39,1431734308299.61,2023-12-31,P24281911,2024-05-19,Tuvalu,0
Kenneth Briggs,6b5fbc4e-c885-4b79-b7d0-c43b1163780b,Checking,4626540618288.95,2022-04-05,No,No,914397,Mathematics,3.92,1975-11-10,,Natural Causes,bc860273-d8ab-4ec5-b675-c025cc7b2a0f,"Lighting technician, broadcasting/film/video",9784203548800.83,ACC73573,2020-01-22,3142521421889.59,Unemployment,2023-09-30,Active,a2378df1-ab06-4af0-8192-1eda5f9217ec,2024-07-11,1,576-23-1909,2017,973633689.84,5487d070-cd90-4c04-af4f-07e4be913aef,2022-09-03,Registered,18644fa4-831c-4824-9204-2415f677d8dd,2024-05-05,Open,qtrevino,2024-06-14,43,"PSC 8515, Box 0059
APO AA 99725",6689374190906.89,9719587606878.76,2024-11-02,P67467333,2023-10-10,Aruba,0
Ricky Roy,31d6a2cf-02fc-4355-b75b-c32ff157cf06,Savings,6567395551735.32,2024-05-22,No,No,404073,Biology,2.8,1968-06-26,,,38d5e26a-8ebf-4f0d-b7da-b104d5e45f5b,Diagnostic radiographer,7617794456039.17,ACC47272,2020-10-01,8880823890043.41,Healthcare,2022-02-26,Active,92f54b2a-6a13-419e-9e63-dad91c6cc92d,2024-10-10,5,822-53-7804,2018,4875371074023.6,87bbe16c-1f72-4538-838a-e9398fceda74,2022-07-07,Not Registered,0a200da9-6632-4eef-9d23-d48704b06137,2020-03-10,Pending,stephaniemiller,2024-04-03,24,"181 Patricia Lodge
West Johnborough, AK 42916",8976161782203.5,6844493364270.15,2024-04-30,P58031016,2023-10-23,Cameroon,1
Daniel Duncan,6af1ca64-24e9-4c94-81e5-b68f7b88d66a,Savings,3753805553614.92,2021-10-30,Yes,No,317139,Biology,2.31,1937-03-03,2024-03-24,Illness,3ba5a9bd-3c2c-448c-b1ed-aeb569af4c84,Horticultural consultant,2133013789037.39,ACC86164,2022-10-26,6232855282296.2,Disability,2021-05-27,Active,0c6d4303-5a9f-4fa3-b36a-912e88ed869d,2024-08-21,2,786-47-1858,2018,8126504911251.55,89766c92-e51e-471e-9ff3-5922e7f34f61,2021-04-15,Registered,bf68e2b8-1232-4c70-a493-b541709164cd,2024-08-11,Open,sheltonkenneth,2024-01-07,16,"84276 Kirk Tunnel
West Janeshire, MH 30770",4622023786666.87,8309221840168.2,2024-04-01,P70176547,2024-04-10,Svalbard & Jan Mayen Islands,0
Jason Morse,1fff82bb-a4c2-4e37-876b-5368fc2bd761,Credit,11940208864.91,2023-07-28,No,Yes,394501,Computer Science,3.94,1934-08-08,,Natural Causes,9f34e86f-7f93-4e19-83b1-c9b91a039eca,Advertising account planner,9101396219376.91,ACC93647,2021-09-08,9254582178529.6,Disability,2023-01-20,Active,9c177c5a-03d6-473a-b4b1-44e7e3a2b5f4,2024-08-16,1,777-13-8032,2021,865408281333.33,410a73e0-df1f-4d9e-8b54-2bc743fd44d3,2022-04-01,Registered,0738b19d-4824-42ee-8552-b6cb519f4beb,2022-01-25,Open,thomasconner,2024-03-21,17,"6838 Welch Inlet Suite 162
Port Evan, AK 78357",7969204559253.89,9260259754082.85,2024-08-18,P14763602,2024-05-08,Congo,1
Christopher Clark,f9eedeeb-3e0d-4f30-bed0-77e0078648f0,Credit,2717331563454.31,2024-01-23,No,Yes,465791,History,2.87,2006-04-18,2024-09-21,Illness,7e6dae27-262b-439a-b0b3-e6264b469162,"Engineer, energy",289341699213.17,ACC17122,2020-05-08,5911193315534.1,Healthcare,2020-10-24,Active,d282e62e-9a04-4547-84f6-83d0eb536bd2,2024-06-26,0,572-09-6562,2016,2380440017020.54,fb054ddd-8c51-450d-99c7-25f0272f57d7,2023-03-03,Not Registered,30cd684e-c629-4a05-8f1b-112a8040b71c,2020-03-17,Open,barnold,2024-03-21,46,"6855 Alexandria Corners Suite 348
West Kathy, OH 66662",6374146507728.81,9488423411066.62,2024-01-22,P16252163,2024-01-25,Mozambique,0
Ryan Walker,f75e1934-0647-4647-bd7e-024cb805be35,Savings,3227486157901.6,2024-02-03,Yes,Yes,718153,Computer Science,3.33,1966-05-31,,Illness,efc6d875-4ee3-4123-8d6d-9fac0ad42948,Television production assistant,6817391577518.61,ACC40435,2020-06-29,1780833378891.47,Disability,2020-01-04,Active,20a96789-2941-48c0-96c0-6c779cea2733,2024-05-28,2,814-40-2535,2017,6167020839478.32,b98ece02-0874-4bcc-bf5e-0520d283bda8,2024-06-16,Registered,9f9d8bf5-45bf-4976-ba49-a44d3e5bb072,2023-05-25,Closed,woodstephanie,2024-08-11,33,"073 Jerry Points
Cookview, VA 55924",5525793263473.37,1758585376538.15,2024-01-15,P85142923,2023-01-18,Tunisia,0
Danny Hendrix,038a4982-6395-44ac-bfb9-dc4ea8265b6e,Credit,2726912165135.7,2021-11-16,No,Yes,974382,Computer Science,2.4,1949-01-16,,,5a059572-6236-4bf0-b700-1d7793c64916,"Surveyor, rural practice",2121899565370.57,ACC11773,2023-03-12,3384935902854.39,Disability,2024-07-01,Active,08bc3ee8-5793-4b27-b6c5-7900af0e2631,2024-06-10,4,192-60-8233,2023,1559784182938.49,934047db-d3b3-467c-b322-52568d2677d9,2024-08-01,Not Registered,87de1bc7-b7b4-48bb-92ce-79cdd3edbaa5,2023-01-12,Closed,jacksonsandra,2023-12-23,13,"0057 Gary Garden
New Christina, AZ 16254",3458048897270.92,3811616577786.23,2024-07-26,P73497742,2024-10-06,Norfolk Island,0
Bruce Holmes,4a0270cb-1cb8-4947-a7a1-a53f138bb457,Credit,1374734128360.6,2023-09-12,No,No,119862,Computer Science,3.13,2002-08-01,,Illness,d64ae2fc-23c4-4bdc-8478-fca7c248a224,Legal secretary,2205210552058.55,ACC68361,2024-11-03,8791990638689.66,Unemployment,2023-10-30,Inactive,9d062959-5742-4135-bc5a-ace4a7cb6404,2024-10-01,1,469-15-2372,2017,2104063664886.41,73455439-0257-4f8c-bae3-4ee477dafd6a,2024-04-29,Registered,fbfa5bab-1bf7-4aed-a863-37b36fab9ef7,2023-11-10,Pending,hharvey,2024-05-29,14,"9665 Garcia Radial
West Amandaport, NJ 21705",2311637400689.19,8249975157404.25,2024-04-10,P19138381,2023-12-23,Namibia,0
